RID,NCBI_GeneID,NCBI_Symbol,count,rank,Group,Specimen,Probe,Antibody_Test,Allele,Anchor_Gene,Marker_Gene,Mouse_Strain
Q-5N04,75605,Kdm5b,3,1374,Dataset,3,3,0,0,0,0,0
Q-5NG0,75986,Agmat,3,1375,Chaise,3,3,0,0,0,0,0
Q-5NGR,76007,Zmym2,3,1376,SSR,3,3,0,0,0,0,0
Q-5NK8,76073,Pcgf5,3,1377,Dataset,3,3,0,0,0,0,0
Q-5P0P,76574,Mfsd2a,3,1378,Chaise,3,3,0,0,0,0,0
Q-5P4T,76681,Trim12a,3,1379,SSR,3,3,0,0,0,0,0
Q-5P70,76747,Dapl1,3,1380,Dataset,3,3,0,0,0,0,0
Q-5PA4,76843,Dtl,3,1381,Chaise,3,3,0,0,0,0,0
Q-5PAJ,76857,Spopl,3,1382,SSR,3,3,0,0,0,0,0
Q-5PCM,76901,Jade2,3,1383,Dataset,3,3,0,0,0,0,0
Q-5PF2,76963,2310076G05Rik,3,1384,Chaise,3,3,0,0,0,0,0
Q-5Q7G,77731,6720477C19Rik,3,1385,SSR,3,3,0,0,0,0,0
Q-5QXE,78244,Dnajc21,3,1386,Dataset,3,3,0,0,0,0,0
Q-5QXT,78251,Zfp712,3,1387,Chaise,3,3,0,0,0,0,0
Q-5QZ2,78284,Creb3l4,3,1388,SSR,3,3,0,0,0,0,0
Q-5QZ8,78287,Rbsn,3,1389,Dataset,3,3,0,0,0,0,0
Q-5TBT,80720,Pbx4,3,1390,Chaise,3,3,0,0,0,0,0
Q-5TJ0,80892,Zfhx4,3,1391,SSR,3,3,0,0,0,0,0
Q-5TMR,81018,Rnf114,3,1392,Dataset,3,3,0,0,0,0,0
Q-5V38,81703,Jdp2,3,1393,Chaise,3,3,0,0,0,0,0
Q-5V44,81799,C1qtnf3,3,1394,SSR,3,3,0,0,0,0,0
Q-5VJC,83925,Trps1,3,1395,Dataset,3,3,0,0,0,0,0
Q-5VKM,83796,Smarcd2,3,1396,Chaise,3,3,0,0,0,0,0
Q-5VSC,83993,Tbx19,3,1397,SSR,3,3,0,0,0,0,0
Q-5YW8,94090,Trim9,3,1398,Dataset,3,3,0,0,0,0,0
Q-5YWE,94093,Trim33,3,1399,Chaise,3,3,0,0,0,0,0
Q-5YWG,94094,Trim34a,3,1400,SSR,3,3,0,0,0,0,0
Q-60B8,99571,Fgg,3,1401,Dataset,3,3,0,0,0,0,0
Q-6160,102423,Hinfp,3,1402,Chaise,3,3,0,0,0,0,0
Q-622C,104348,Zfp120,3,1403,SSR,3,3,0,0,0,0,0
Q-623P,104383,Rcor2,3,1404,Dataset,3,3,0,0,0,0,0
Q-62D8,105298,Epdr1,3,1405,Chaise,3,3,0,0,0,0,0
Q-631P,107260,Otub1,3,1406,SSR,3,3,0,0,0,0,0
Q-65T8,109889,Mzf1,3,1407,Dataset,3,3,0,0,0,0,0
Q-65V2,109910,Zfp91,3,1408,Chaise,3,3,0,0,0,0,0
Q-6BAG,116810,Foxn4,3,1409,SSR,3,3,0,0,0,0,0
Q-6BAJ,116811,Zim3,3,1410,Dataset,3,3,0,0,0,0,0
Q-6BD8,116870,Mta1,3,1411,Chaise,3,3,0,0,0,0,0
Q-6GA8,170574,Sp7,3,1412,SSR,3,3,0,0,0,0,0
Q-6GJM,170936,Zfp369,3,1413,Dataset,3,3,0,0,0,0,0
Q-6H1R,192190,Pkhd1l1,3,1414,Chaise,3,3,0,0,0,0,0
Q-6H30,192285,Phf21a,3,1415,SSR,3,3,0,0,0,0,0
Q-6H3J,192651,Zfp286,3,1416,Dataset,3,3,0,0,0,0,0
Q-6H5Y,193043,Zfp3,3,1417,Chaise,3,3,0,0,0,0,0
Q-6J3J,208292,Zfp871,3,1418,SSR,3,3,0,0,0,0,0
Q-6JCP,210105,Zfp719,3,1419,Dataset,3,3,0,0,0,0,0
Q-6JD8,210162,Zkscan2,3,1420,Chaise,3,3,0,0,0,0,0
Q-6JT6,213011,Zfp583,3,1421,SSR,3,3,0,0,0,0,0
Q-6K0Y,214290,Zcchc6,3,1422,Dataset,3,3,0,0,0,0,0
Q-6K3J,214685,Chadl,3,1423,Chaise,3,3,0,0,0,0,0
Q-6K4G,214899,Kdm5a,3,1424,SSR,3,3,0,0,0,0,0
Q-6K86,215627,Zbtb8b,3,1425,Dataset,3,3,0,0,0,0,0
Q-6M1J,219105,Zmym5,3,1426,Chaise,3,3,0,0,0,0,0
Q-6MNY,223642,Zc3h3,3,1427,SSR,3,3,0,0,0,0,0
Q-6MP6,223649,Nrbp2,3,1428,Dataset,3,3,0,0,0,0,0
Q-6MWP,224585,Zfp160,3,1429,Chaise,3,3,0,0,0,0,0
Q-6MWR,224598,Zfp758,3,1430,SSR,3,3,0,0,0,0,0
Q-6N0R,225055,Fbxo11,3,1431,Dataset,3,3,0,0,0,0,0
Q-6N6P,226049,Dmrt2,3,1432,Chaise,3,3,0,0,0,0,0
Q-6NCJ,226896,Tfap2d,3,1433,SSR,3,3,0,0,0,0,0
Q-6NDM,227099,Pms1,3,1434,Dataset,3,3,0,0,0,0,0
Q-6NQJ,228770,Rspo4,3,1435,Chaise,3,3,0,0,0,0,0
Q-6NRA,228807,Zfp341,3,1436,SSR,3,3,0,0,0,0,0
Q-6NRE,228829,Phf20,3,1437,Dataset,3,3,0,0,0,0,0
Q-6NXT,229644,Trim45,3,1438,Chaise,3,3,0,0,0,0,0
Q-6P1M,230162,Zfp189,3,1439,SSR,3,3,0,0,0,0,0
Q-6PJP,232237,Fgd5,3,1440,Dataset,3,3,0,0,0,0,0
Q-6PPE,232853,Zfp954,3,1441,Chaise,3,3,0,0,0,0,0
Q-6PZM,233893,Zfp764,3,1442,SSR,3,3,0,0,0,0,0
Q-6Q0P,234069,Pcid2,3,1443,Dataset,3,3,0,0,0,0,0
Q-6Q1R,234329,Trim60,3,1444,Chaise,3,3,0,0,0,0,0
Q-6Q22,234362,Zfp868,3,1445,SSR,3,3,0,0,0,0,0
Q-6Q2C,234378,Klhl26,3,1446,Dataset,3,3,0,0,0,0,0
Q-6Q7J,235047,Zfp809,3,1447,Chaise,3,3,0,0,0,0,0
Q-6Q7R,235050,Zfp810,3,1448,SSR,3,3,0,0,0,0,0
Q-6QDC,235907,Zfp65,3,1449,Dataset,3,3,0,0,0,0,0
Q-6QDG,235956,Zfp825,3,1450,Chaise,3,3,0,0,0,0,0
Q-6QE0,236193,Zfp709,3,1451,SSR,3,3,0,0,0,0,0
Q-6QST,238386,Btbd7,3,1452,Dataset,3,3,0,0,0,0,0
Q-6QZG,239546,Zfp647,3,1453,Chaise,3,3,0,0,0,0,0
Q-6R34,240068,Zfp563,3,1454,SSR,3,3,0,0,0,0,0
Q-6R62,240590,Dmrt3,3,1455,Dataset,3,3,0,0,0,0,0
Q-6RDM,241764,L3mbtl1,3,1456,Chaise,3,3,0,0,0,0,0
Q-6RF0,242109,Zfp697,3,1457,SSR,3,3,0,0,0,0,0
Q-6RGT,242466,Zfp462,3,1458,Dataset,3,3,0,0,0,0,0
Q-6RHJ,242523,Dmrta1,3,1459,Chaise,3,3,0,0,0,0,0
Q-6RHP,242553,Kank4,3,1460,SSR,3,3,0,0,0,0,0
Q-6RR4,243574,Kbtbd8,3,1461,Dataset,3,3,0,0,0,0,0
Q-6RTG,243906,Zfp14,3,1462,Chaise,3,3,0,0,0,0,0
Q-6RV8,243963,Zfp473,3,1463,SSR,3,3,0,0,0,0,0
Q-6RY2,244349,Kat6a,3,1464,Dataset,3,3,0,0,0,0,0
Q-6S0E,244721,Zfp846,3,1465,Chaise,3,3,0,0,0,0,0
Q-6S2M,245174,Zfp937,3,1466,SSR,3,3,0,0,0,0,0
Q-6WN6,260296,Trim61,3,1467,Dataset,3,3,0,0,0,0,0
Q-6WX0,268294,Zbtb24,3,1468,Chaise,3,3,0,0,0,0,0
Q-6XAM,269997,Zfp747,3,1469,SSR,3,3,0,0,0,0,0
Q-70Y6,320395,C130075A20Rik,3,1470,Dataset,3,3,0,0,0,0,0
Q-712C,320508,Cachd1,3,1471,Chaise,3,3,0,0,0,0,0
Q-71D6,320799,Zhx3,3,1472,SSR,3,3,0,0,0,0,0
Q-72N2,330671,B4galnt4,3,1473,Dataset,3,3,0,0,0,0,0
Q-763R,381319,Batf3,3,1474,Chaise,3,3,0,0,0,0,0
Q-76T4,383548,Serpinb3b,3,1475,SSR,3,3,0,0,0,0,0
Q-7FM6,449521,Zfp213,3,1476,Dataset,3,3,0,0,0,0,0
Q-7WT8,667803,H2-T-ps,3,1477,Chaise,3,3,0,0,0,0,0
Q-7XPW,668572,2610021A01Rik,3,1478,SSR,3,3,0,0,0,0,0
Q-87BA,100039028,Mup11,3,1479,Dataset,3,3,0,0,0,0,0
Q-87XA,100039668,Gm12397,3,1480,Chaise,3,3,0,0,0,0,0
Q-91FJ,100502767,5230400M03Rik,3,1481,SSR,3,3,0,0,0,0,0
Q-3M4E,187,APLNR,2,1482,Dataset,2,2,0,0,0,0,0
Q-3MDM,359,AQP2,2,1483,Chaise,0,2,2,0,0,0,0
Q-3MJC,445,ASS1,2,1484,SSR,2,2,0,0,0,0,0
Q-3N0W,717,C2,2,1485,Dataset,2,2,0,0,0,0,0
Q-3NBG,915,CD3D,2,1486,Chaise,0,0,2,0,0,0,0
Q-3NBR,920,CD4,2,1487,SSR,0,0,2,0,0,0,0
Q-3NDE,947,CD34,2,1488,Dataset,0,0,2,0,0,0,0
Q-3NR6,1134,CHRNA1,2,1489,Chaise,2,2,0,0,0,0,0
Q-3NZJ,1286,COL4A4,2,1490,SSR,2,2,0,0,0,0,0
Q-3P0C,1298,COL9A2,2,1491,Dataset,2,2,0,0,0,0,0
Q-3P7A,1428,CRYM,2,1492,Chaise,2,2,0,0,0,0,0
Q-3Q66,2018,EMX2,2,1493,SSR,2,2,0,0,0,0,0
Q-3QFW,2199,FBLN2,2,1494,Dataset,2,2,0,0,0,0,0
Q-3QG0,2200,FBN1,2,1495,Chaise,2,2,0,0,0,0,0
Q-3QPC,2306,FOXD2,2,1496,SSR,2,2,0,0,0,0,0
Q-3RVJ,3014,H2AFX,2,1497,Dataset,0,0,2,0,0,0,0
Q-3TAR,3913,LAMB2,2,1498,Chaise,0,0,2,0,0,0,0
Q-3TFG,4016,LOXL1,2,1499,SSR,2,2,0,0,0,0,0
Q-3TNA,4118,MAL,2,1500,Dataset,2,2,0,0,0,0,0
(1500 rows),,,,,,,,,,,,
