RID,NCBI_GeneID,NCBI_Symbol,count,rank,Group,Specimen,Probe,Antibody_Test,Allele,Anchor_Gene,Marker_Gene,Mouse_Strain
Q-6HXY,207165,Bptf,4,1127,SSR,4,4,0,0,0,0,0
Q-6JFJ,210801,Unc5d,4,1128,Dataset,4,4,0,0,0,0,0
Q-6JPR,212398,Frat2,4,1129,Chaise,4,4,0,0,0,0,0
Q-6KCT,216238,Eea1,4,1130,SSR,4,4,0,0,0,0,0
Q-6KQ6,217410,Trib2,4,1131,Dataset,4,4,0,0,0,0,0
Q-6KQT,217578,Baz1a,4,1132,Chaise,4,4,0,0,0,0,0
Q-6MQM,223770,Brd1,4,1133,SSR,4,4,0,0,0,0,0
Q-6NCG,226866,Sbspon,4,1134,Dataset,4,4,0,0,0,0,0
Q-6NH4,227644,Snapc4,4,1135,Chaise,4,4,0,0,0,0,0
Q-6P3W,230612,Slc5a9,4,1136,SSR,4,4,0,0,0,0,0
Q-6PB0,231290,Slc10a4,4,1137,Dataset,4,4,0,0,0,0,0
Q-6PN0,232566,Amn1,4,1138,Chaise,4,4,0,0,0,0,0
Q-6PYE,233805,Dcun1d3,4,1139,SSR,4,4,0,0,0,0,0
Q-6PYY,233863,Gtf3c1,4,1140,Dataset,4,4,0,0,0,0,0
Q-6PZG,233887,Zfp553,4,1141,Chaise,4,4,0,0,0,0,0
Q-6Q8R,235281,Scn3b,4,1142,SSR,4,4,0,0,0,0,0
Q-6QJP,237222,Ofd1,4,1143,Dataset,4,4,0,0,0,0,0
Q-6RBW,241514,Zfp804a,4,1144,Chaise,4,4,0,0,0,0,0
Q-6REJ,242022,Frem2,4,1145,SSR,4,4,0,0,0,0,0
Q-6RKW,242785,Klhl21,4,1146,Dataset,4,4,0,0,0,0,0
Q-6RWJ,244183,Trim30b,4,1147,Chaise,4,4,0,0,0,0,0
Q-6S3E,245386,Tmem255a,4,1148,SSR,4,4,0,0,0,0,0
Q-6S5R,245595,Zfp711,4,1149,Dataset,4,4,0,0,0,0,0
Q-6SMC,252838,Tox,4,1150,Chaise,4,4,0,0,0,0,0
Q-6X7M,269629,Lhfpl3,4,1151,SSR,4,4,0,0,0,0,0
Q-6X9A,269831,Tspan12,4,1152,Dataset,4,4,0,0,0,0,0
Q-6XPE,279653,Pcdh19,4,1153,Chaise,4,4,0,0,0,0,0
Q-6YMA,284654,RSPO1,4,1154,SSR,4,4,0,0,0,0,0
Q-70GJ,320038,Dlx6os1,4,1155,Dataset,4,4,0,0,0,0,0
Q-7148,320563,Islr2,4,1156,Chaise,4,4,0,0,0,0,0
Q-71KY,320974,Lrrn4,4,1157,SSR,4,4,0,0,0,0,0
Q-731R,338354,Zfp780b,4,1158,Dataset,4,4,0,0,0,0,0
Q-7B50,402733,A930009L07Rik,4,1159,Chaise,4,4,0,0,0,0,0
Q-7CBJ,407821,Znrf3,4,1160,SSR,4,4,0,0,0,0,0
